Ryhmä;Suomenkielinen nimi;Tieteellinen nimi;Kuvaus;Koko;Kasvupaikka;Kemia;Levinneisyys;Mikrosienet;Muuta;Löydettyjä isäntäkasveja;Isäntäkasvin muita piensieniä;Löytöpaikoista Luopioisissa;Maastotuntomerkit;Vertaa seuraaviin;Kirjallisuus;Kuva 1;Kuva 2;Kuva 3;Kuva 4;Kuva 5;Kuva 6;Kuva 7;Kuva 8;Kuva 9;Kuva 10
Putkilokasvit;Aaprottimaruna;Artemisia abrotanum;Aaprottimaruna on monivuotinen asterikasvi. Se on harvoin viljelty maustekasvi. Ruskehtavat varret ovat alaosastaan puutuneet ja muodostavat pensasmaisen kasvuston. Kasvi on ryydintuoksuinen. Lehdet ovat tillimäiset mutta karheat ja kovat. Sen mykeröt ovat puolipallon muotoiset, pienet ja perälliset, keltaiset.;40 - 120 cm;Puutarhoissa, pientareilla, pelloilla, kaatopaikoilla.;;Harvoin viljelty Etelä-Suomessa, viljelyjäänne.;marunanruoste (Puccinia absinthii) marunankolohärmä (Golovinomyces artemisiae) marunanlehtihome (Passalora ferruginea);;;;Aaprottimaruna on   ollut maustekasvina harvinainen Luopioisissa. Viljelyjäänteenä vielä harvinaisempi. Olen tavannut kasvin vain kahdelta paikalta. Molemmat ovat olleet autiotalon välittömässä läheisyydessä puutarhan reunassa viljelyjäänteenä. Toinen löytyi läheltä Lammin rajaa Kauhajärveltä ja toinen Haltialta. Aaprottia on viljelty lääkkeeksi, mausteeksi ja koristeeksi. Sillä on maustettu myös alkoholia.;;;;https://luokasvit.s3.eu-west-1.amazonaws.com/Kasvilajit/artemisia_abrotanum.jpeg;;;;;;;;;
Putkilokasvit;Ahdekaunokki;Centaurea jacea;Ahdekaunokki on monivuotinen asterikasvi. Sen varsi on koheneva, lyhytkarvainen ja haaraton, lehdet ehyet tai matalaliuskaiset ja karvaiset, kukinnot violetit. Kehtosuomut ovat ruskeat ja päästä risaiset tai ehyet.;30 - 80 cm;Kuivilla kedoilla ja niityillä, pientareilla.;;Jokseenkin yleinen Etelä-Suomessa, harvinaistuu voimakkaasti Etelä-Lappiin mennessä.;keltanonruoste (Puccinia hieracii) kaunokinsararuoste (Puccinia tenuistipes) ohdakkeenkolohärmä (Golovinomyces montagnei);;;;Ahdekaunokki on alueella melko harvinainen. Kaunokki viihtyy aurikoisilla paikoilla pientareilla, kedoilla ja kallioilla. Kasvin puuttuminen  saattaa johtua ketojen vähyydestä ja alueen metsäisyydestä. Kasvia löytyy edelleen Säynäjärven Haapamäen talon läheisyydestä ja kirkonkylästä Vanhainkodin pensasaidan vierestä, jossa se kuitenkin kärsii puistotöistä. Laaja uusi kasvusto löyty kesällä 2009 kartoituksen yhteydessä Rautajärveltä Peltoniemen talon ympäristöstä. Kasvia tulee seurata ja sen esiintymiä suojella.;;;- Kuitunen, T. 2008: Kasvihavaintoja Pälkäneeltä, Luopioisten alueelta (EH). - Talvikki 32: 56-60.;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/centaurea_jacea1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/centaurea_jacea2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/centaurea_jacea3.jpg;;;;;;;
Putkilokasvit;Isoaho-orvokki;Viola canina ssp. ruppii;Aho-orvokki on monivuotinen orvokkikasvi. Sen varsi on pysty ja haarova, lehtiruusukkeeton, lehti puikea, tylppä ja kaksi kertaa leveytensä pituinen, kukka n. 1,5 - 2,5 cm pitkä ja sininen.;10-40 cm;Metsissä, kallioilla, hakkuuaukeilla, kuivilla niityillä.;;Yleinen koko maassa.;orvokinruoste (Puccinia violae);Risteytyy yleisesti metsäorvokin kanssa. Alalajit: pikkuaho-orvokki (ssp. canina) ja isoaho-orvokki (ssp. ruppii).;;;Aho-orvokki on hyvin yleinen ja runsas kasvi alueella. Se kasvaa monenlaisilla kasvupaikoilla, kuten pientareilla, metsissä ja joutomailla. Se on hyötynyt hakkuista valtaamalla paljastuneelta maalta uusia kasvupaikkoja, samoin metsäautoteiden reunoilta ja pientareilta. Kasvi katoaa kuitenkin heinittymisen edetessä. Risteymää metsäorvokin kanssa tavataan yleisesti aho-orvokin kasvualueilla. Pikkuaho-orvokki on tavattu alueelta parilta paikalta, Padankoskelta ja Niemikunnasta, mutta sen kasvupaikkoihin eikä levinneisyyteen ei ole kartoituksessa kiinnitetty tarpeeksi huomiota.;;;Isoaho-orvokin kukka Pikkuaho-orvokki (Viola canina ssp. canina);;;;;;;;;;
Putkilokasvit;Ahojäkkärä;Omalotheca sylvatica;Ahojäkkärä on monivuotinen asterikasvi. Sen varret ovat jäykät haarattomat tiheään vaaleakarvaiset, lehdet yksisuoniset ylöspäin siirottavat ja alta valkovanukkeiset, kukat mykeröstönä varren latvassa.;15 - 40 cm;Niityillä, pientareilla, kedoilla, metsänreunoissa.;;Yleinen Etelä- ja Keski-Suomessa, harvinaistuu Pohjois-Lappiin mennessä.;Jäkkäränmyöhähärmä (Neoërysiphe gnaphalii);Vanha nimi Gnaphalium sylvatica;;;Ahojäkkärä on alueella jokseenkin yleinen. Se kasvaa  niityillä ja pientareilla, eikä kestä varjostusta eikä voimakasta kilpailua. Silloin se jää kituvaksi tai häviää kokonaan. Hyvin usein sen tapaa nurmettuneelta metsäautotieltä. Alkukesästä kasvi on vaikea havaita ja on saattanut kartoituksessa jäädä silloin vähemmälle huomiolle.;;;.;;;;;;;;;;
Putkilokasvit;Ahokeltanot;Hieracium sect. Vulgata;Ahokeltanit ovat monivuotisia sikurikasveja. Kasvin varsi on pysty, ruodittomia varsilehtiä 2 - 5 kpl, ruusukelehtiä vähän, lehtilapa soikea hampainen suippotyvinen, mykeröt huiskilossa, kehto nysty- ja hapsikarvainen.;10 - 60 cm;Kuivissa ja tuoreissa metsissä teiden varsilla, niityillä.;;Yleinen koko maassa, harvinaistuu  Pohjois-Lappiin mennessä.;keltanonruoste (Puccinia hieracii) keltanonnoki (Entyloma hieracii) sikurinkolohärmä (Golovinomyces cichoracearum);Ryhmälaji: Laji.fi-tiedostoon merkitty 25 lajia. Joskus vaikea erottaa Hieracium Sylvatica-ryhmän lajeista.;;;Ahokeltanot ovat alueella hyvin yleisiä. Keltano näyttää viihtyvän avoimilla pientareilla ja niityillä, usein myös metsissä, mutta silloin se ei kestä varjostusta. Hetken kasvi viihtyy myös hakkuuaukeilla, mutta tukehtuu nopeasti varjostukseen. Pikkulajeja ei ole  eroteltu toisistaan, sillä ne ovat melko vaikeita. Olen kuitenkin kartoitusretkillä hyvin usein tallentanut näytteen erilaisista kasvustoista. Määrityksessä on otettu huomioon lähinnä varsilehtien lukumäärä (2-5 kpl) ja ruusukelehdet.;;;- Ranta, Y. 1994: Eräästä ahokeltanosta (Hieracium cornigerum Norrl. et Lindb.) ja sen esiintymisestä Suomessa. - Talvikki 18: 54-56.;;;;;;;;;;
Putkilokasvit;Ahokiruoho;Gymnadenia conopsea ssp. conopsea;Kirkiruoho on monivuotinen kämmekkäkasvi. Sen juurimukulat ovat liuskaisia, varsi tanakka, lehdet tasasoukkia täplättömiä, kukat tuoksuvat punaiset, kannus pitkä hoikka.;30 - 50 cm;Kuivilla niityillä ja ahoilla.;;Harvinainen Etelä-Suomessa.;;Harvinaistunut voimakkaasti. Rauhoitettu. Valtakunnallisesti uhanalainen (VU).;;;Kirkiruoho on ollut alueella hyvin harvinainen kasvi ja on tällä hetkellä todennäköisesti kokonaan hävinnyt. Se on kosteiden ketojen ja niittyjen kasvi. Se ei siedä muiden kasvien varjostusta eikä niittyjen umpeenkasvua. Kasvi näyttää kadonneen   kaikilta löydetyiltä kasvupaikoiltaan. Kuohijoen kalkkialueen kasvusto tuhoutui suon kuivauksen yhteydessä, Padankosken esiintymät ovat tukehtuneet pusikoitumiseen, samoin Kyynärön esiintymä. Veikko Huhdan 1959 löytämä kasvupaikka Holjassa on tarkastamatta, koska sen tarkkaa sijaintia ei tiedetä. Uusia esiintymiä ei enää 2000-luvulla ole löytynyt.;;;- Häyhä, T. 2003: Uhanalaiset kasvit Kanta-Hämeessä. - Alueelliset ympäristöjulkaisut 306. Hämeen ympäristökeskus. 129s. - Kuitunen, T. 1998: Luopioisten Kuohijoen kalkkilehto – Natura-kohde. - Talvikki 22: 106-109. - Tampereen seutukaavaliitto 1985: Pirkanmaan uhanalaiset kasvit. Julkaisu B 147. - 47 s. - Vauhkonen, M. 2003: Päijät-Hämeen uhanalaiset ja silmälläpidettävät putkilokasvit. - Alueelliset ympäristöjulkaisut 326. Hämeen ympäristökeskus. 98s.;;;;;;;;;;
Putkilokasvit;Ahokissankäpälä;Antennaria dioica;Ahokissankäpälä on monivuotinen kaksikotinen asterikasvi. Sen kukat ovat valkoisia tai punertavia, lehdet ruusukkeena, tiheään valkokarvaisia ja varret karvaisia.;5 - 30 cm;Kuivilla kedoilla, kallioilla, polkujen hiekkaisilla penkereillä, kuivissa kangasmetsissä.;;Melko yleinen koko maassa.;kissankäpälännoki (Entyloma antennariae);Kasvi on harvinaistunut voimakkaasti kaikkialla.;;;Ahokissankäpälä on alueella tyypillinen ketokasvi, joka on voimakkaasti harvinaistunut maaseudun väestö- ja kulttuurirakenteen muututtua. Kasvin löytää enää vain parhailta paikoilta teiden hiekkapenkereiltä tai kallioilta eikä se useinkaan ole kovin runsas. Monet ennen elinvoimaiset kasvustot ovat heikentyneet ja jopa hävinneet. Ahokissankäpälä tunnu kestävän varjostuksen lisääntymistä ja saattaa lisätä kasvustojaan ainakin hetkellisesti hakkuiden ja maan rouhimisen jälkeen. Ketojen ja niittyjen häviäminen on hävittänyt myös tämän kasvin kasvustoja.;;;Punainen muoto Valkoinen muoto;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/antennaria_dioica1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/antennaria_dioica2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/antennaria_dioica3.jpg;;;;;;;
Putkilokasvit;Aholeinikki;Ranunculus polyanthemos;Aholeinikki on monivuotinen leinikkikasvi. Sen varsi on pysty siirottavakarvainen. Aluslehdet ovat pitkäruotiset ja liuskaiset, kukat kullankeltaiset vahamaiset. Kukkaperät uurteiset.;20 - 80 cm;Kuivahkot ahot ja niityt, lehdot.;;Melko yleinen Etelä- ja Keski-Suomessa.;leinikinkoiranheinäruoste (Uromyces dactylidis) leinikinhärmä (Erysiphe aquilegiae var. ranunculi) leinikinlaikkunoki (Entyloma ranunculorum);Aluslehtien mukaan jaettu eri alalajeihin: siroaholeinikki (R. polyanthemos ssp. polyanthemos), etelänaholeinikki (R. polyanthemos ssp. x polyanthemoides) ja pyökkiaholeinikki (R. polyanthemus ssp. nemorosus).;;;Aholeinikki on alueella jokseenkin harvinainen ja niukka kasvi. Se kasvaa ravinteisilla niityillä ja kedoilla samanlaisilla paikoilla kuin niittyleinikki, mutta on tätä selvästi harvinaisempi. Suurin osa kasvustoista on nimirotua ssp. polyanthemos, mutta varsinkin Padankosken gabro-alueella esiintyy  runsaasti myös leveälehtistä rotua ssp. x polyanthemoides.;;;- B. Jonsell, 2001: Ranunculus polyanthemos. Teoksessa: Jonsell, B. (toim.), Flora Nordica 2: 285 - 288. Aholeinikin nimimuodon kukka Etelänaholeinikin pähkylähedelmä Ranunculus polyanthemos ssp. polyanthemosRanunculus polyanthemos ssp. polyanthemos Ranunculus polyanthemos ssp. x polyanthemoidesRanunculus polyanthemos ssp. x polyanthemoides;;;;;;;;;;
Putkilokasvit;Ahomansikka;Fragaria vesca;Ahomansikka on monivuotinen ruusukasvi. Se leviää rönsyjen avulla. Varren karvat siirottavat yläviistoon, lehdykät ovat soikeita vinoneliömäisiä, kukka valkoinen, marja 0,5-1 cm helposti irtoava.;5 - 20 cm;Pientareillä, niityillä, ahoilla, metsänreunoissa, kallioilla.;;Yleinen Etelä- ja Keski-Suomessa, harvinaistuu Pohjois-Lappiin mennessä.;mansikanrengaslaikkusieni (Mycosphaerella fragariae);Marjakasvi.;;;Ahomansikka on alueella hyvin yleinen ja runsas kasvi. Se kasvaa monenlaislla paikoilla pihoilla, pientareilla, kedoilla ja niityillä, myös lehtometsistä ja tuoreista kangasmetsistä sen löytää. Varjossa se jää steriiliksi, mutta levittäytyy kasvullisesti ympäristöönsä. Kasvi kuuluu sadan yleisimmän kasvin joukkoon alueella.;;;.;;;;;;;;;;
Putkilokasvit;Ahomatara;Galium boreale;Monivuotinen matarakasvi, jonka varsi on pysty kalju punertavatyvinen. Lehtikiehkurassa on kaksi pidempää kaksi lyhempää  3-suonista lehteä. Latvakukinto on kartiomainen, kukat ovat valkoisia.;25 - 40 cm;Niityillä, pengermillä, metsänreunoissa, kuivissa lehdoissa, letoilla.;;Yleinen koko maassa.;ahomataranruoste (Puccinia rubefaciens);;;;Ahomatara on alueella yleinen ja runsas ketokasvi. Sen olen löytänyt niityitlä, kedoilta ja pientareilta sekä ravinteisista metsistä. Ahomatara ei näytä kärsineen ympäritönsä muutoksista, vaan on edelleen yleinen samoilla alueilla kuin ennekin.;;;;;;;;;;;;;
